"scenario","transect","population_size","spacing","sigma","truncation","density_scenario","mc_se","mean_nhat"
9,"line",3250,400,15,40,3,230.095375529404,3251.61989640031
9,"line",3250,400,15,40,4,229.311749505048,3252.51746052858
10,"line",160,200,15,40,1,35.5206933118225,163.112567384184
10,"line",160,200,15,40,2,35.5920896378045,163.258434256153
10,"line",160,200,15,40,3,35.4741324183174,163.10944347555
10,"line",160,200,15,40,4,35.5468440612525,163.212492150634
11,"line",640,200,15,40,1,69.6204661488276,642.375408004142
11,"line",640,200,15,40,2,69.6936923342594,642.895434630675
11,"line",640,200,15,40,3,69.7750398795228,642.490957718523
11,"line",640,200,15,40,4,69.8350902528946,642.156206131241
12,"line",1600,200,15,40,1,110.15911368792,1600.53587236768
12,"line",1600,200,15,40,2,109.552107504547,1601.74646016742
12,"line",1600,200,15,40,3,110.384818658537,1601.07666904241
12,"line",1600,200,15,40,4,110.060443648328,1602.2982118725
1,"point",6000,2236,70,200,1,1582.46155262978,6101.88281756708
1,"point",6000,2236,70,200,2,1885.13062622966,5944.78111373573
1,"point",6000,2236,70,200,3,1626.43838419222,6128.91470311064
1,"point",6000,2236,70,200,4,1583.45251675219,6116.75199806164
2,"point",20000,2236,70,200,1,2877.02142739278,20008.6577744594
2,"point",20000,2236,70,200,2,4614.60204050669,19429.9529978668
2,"point",20000,2236,70,200,3,3140.19640527387,20091.3737849292
2,"point",20000,2236,70,200,4,2876.71176182519,20021.2099669167
3,"point",37800,2236,70,200,1,4004.21393635884,37666.3172772658
3,"point",37800,2236,70,200,2,7980.00338529453,36622.7674702989
3,"point",37800,2236,70,200,3,4666.76789069056,37821.5915453054
3,"point",37800,2236,70,200,4,4055.24049327966,37716.6924160462
4,"point",2500,1581,70,200,1,712.202470127687,2555.94242497082
4,"point",2500,1581,70,200,2,770.342618040081,2517.88903069113
4,"point",2500,1581,70,200,3,721.680229823865,2561.85426756396
4,"point",2500,1581,70,200,4,713.420211203154,2557.30381618168
5,"point",12000,1581,70,200,1,1545.38428101378,11986.1331332832
5,"point",12000,1581,70,200,2,2163.99575339116,11793.1638271409
5,"point",12000,1581,70,200,3,1630.39743041268,12011.2371712309
5,"point",12000,1581,70,200,4,1556.77146601628,11999.2520836853
6,"point",24500,1581,70,200,1,2253.51476189146,24390.3897419493
6,"point",24500,1581,70,200,2,3834.17728806562,23994.8520395633
6,"point",24500,1581,70,200,3,2493.92247164293,24450.5213961763
6,"point",24500,1581,70,200,4,2265.15900021724,24412.1926364706
7,"point",1800,1291,70,200,1,489.875387282972,1834.16979048885
7,"point",1800,1291,70,200,2,515.532217014293,1816.29209180496
7,"point",1800,1291,70,200,3,492.64210444386,1839.26858513047
7,"point",1800,1291,70,200,4,486.237416709281,1836.80257830412
8,"point",6800,1291,70,200,1,942.815421384559,6798.65419410754
8,"point",6800,1291,70,200,2,1144.7453231356,6717.29962057353
8,"point",6800,1291,70,200,3,973.014916849493,6804.11023509701
8,"point",6800,1291,70,200,4,941.580093465366,6802.90827901726
9,"point",17000,1291,70,200,1,1516.22943245446,16912.0200905798
9,"point",17000,1291,70,200,2,2238.90389132768,16712.2556135166
9,"point",17000,1291,70,200,3,1631.87678691614,16942.5298026809
9,"point",17000,1291,70,200,4,1526.52169652057,16930.8991939876
10,"point",1150,1000,70,200,1,298.984896726366,1171.07484322665
10,"point",1150,1000,70,200,2,309.118197387603,1159.62991216881
10,"point",1150,1000,70,200,3,300.589290057206,1173.98264283421
10,"point",1150,1000,70,200,4,299.094564700463,1169.88415663728
11,"point",4000,1000,70,200,1,552.319426367243,3999.0319911039
11,"point",4000,1000,70,200,2,625.147863969588,3963.59146033157
11,"point",4000,1000,70,200,3,563.50825651727,4001.56524093245
11,"point",4000,1000,70,200,4,554.268747674319,3998.62463302782
12,"point",10200,1000,70,200,1,900.214639686009,10151.3687937567
12,"point",10200,1000,70,200,2,1175.28825888845,10065.3037309725
12,"point",10200,1000,70,200,3,941.693806754027,10162.6107989273
12,"point",10200,1000,70,200,4,899.947303642382,10154.8570293699
